"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 20:19:22 GMT 2024","Sun Apr 21 20:19:22 GMT 2024","128","Command line suite","Command line test","UsersTest","UsersTest","post_Users_ReturnsCreated","post_Users_ReturnsCreated",""
"passed","Sun Apr 21 20:19:19 GMT 2024","Sun Apr 21 20:19:19 GMT 2024","269","Command line suite","Command line test","TodosTest","TodosTest","post_Todos_ReturnsCreated","post_Todos_ReturnsCreated",""
"passed","Sun Apr 21 20:19:20 GMT 2024","Sun Apr 21 20:19:21 GMT 2024","268","Command line suite","Command line test","PostsTest","PostsTest","putById_Posts_ReturnsUpdated","putById_Posts_ReturnsUpdated",""
"passed","Sun Apr 21 20:19:19 GMT 2024","Sun Apr 21 20:19:19 GMT 2024","319","Command line suite","Command line test","TodosTest","TodosTest","patchById_Todos_ReturnsUpdated","patchById_Todos_ReturnsUpdated",""
"passed","Sun Apr 21 20:19:20 GMT 2024","Sun Apr 21 20:19:20 GMT 2024","69","Command line suite","Command line test","PostsTest","PostsTest","getById_Posts_ReturnsPost","getById_Posts_ReturnsPost",""
"passed","Sun Apr 21 20:19:21 GMT 2024","Sun Apr 21 20:19:21 GMT 2024","274","Command line suite","Command line test","UsersTest","UsersTest","getById_Users_ReturnsUser","getById_Users_ReturnsUser",""
"passed","Sun Apr 21 20:19:21 GMT 2024","Sun Apr 21 20:19:21 GMT 2024","258","Command line suite","Command line test","UsersTest","UsersTest","deleteById_Users_ReturnsOk","deleteById_Users_ReturnsOk",""
"passed","Sun Apr 21 20:19:22 GMT 2024","Sun Apr 21 20:19:22 GMT 2024","259","Command line suite","Command line test","UsersTest","UsersTest","putById_Users_ReturnsUpdated","putById_Users_ReturnsUpdated",""
"passed","Sun Apr 21 20:19:20 GMT 2024","Sun Apr 21 20:19:20 GMT 2024","286","Command line suite","Command line test","PostsTest","PostsTest","patchById_Posts_ReturnsUpdated","patchById_Posts_ReturnsUpdated",""
"passed","Sun Apr 21 20:19:19 GMT 2024","Sun Apr 21 20:19:20 GMT 2024","288","Command line suite","Command line test","TodosTest","TodosTest","putById_Todos_ReturnsUpdated","putById_Todos_ReturnsUpdated",""
"passed","Sun Apr 21 20:19:21 GMT 2024","Sun Apr 21 20:19:22 GMT 2024","286","Command line suite","Command line test","UsersTest","UsersTest","patchById_Users_ReturnsUpdated","patchById_Users_ReturnsUpdated",""
"passed","Sun Apr 21 20:19:20 GMT 2024","Sun Apr 21 20:19:20 GMT 2024","136","Command line suite","Command line test","PostsTest","PostsTest","deleteById_Posts_ReturnsOk","deleteById_Posts_ReturnsOk",""
"passed","Sun Apr 21 20:19:21 GMT 2024","Sun Apr 21 20:19:21 GMT 2024","73","Command line suite","Command line test","UsersTest","UsersTest","getAll_Users_ReturnsOk","getAll_Users_ReturnsOk",""
"passed","Sun Apr 21 20:19:18 GMT 2024","Sun Apr 21 20:19:19 GMT 2024","331","Command line suite","Command line test","TodosTest","TodosTest","getAll_Todos_ReturnsOk","getAll_Todos_ReturnsOk",""
"passed","Sun Apr 21 20:19:20 GMT 2024","Sun Apr 21 20:19:20 GMT 2024","129","Command line suite","Command line test","PostsTest","PostsTest","post_Posts_returnsCreated","post_Posts_returnsCreated",""
"passed","Sun Apr 21 20:19:17 GMT 2024","Sun Apr 21 20:19:18 GMT 2024","1577","Command line suite","Command line test","TodosTest","TodosTest","deleteById_Todos_ReturnsOk","deleteById_Todos_ReturnsOk",""
"passed","Sun Apr 21 20:19:20 GMT 2024","Sun Apr 21 20:19:20 GMT 2024","112","Command line suite","Command line test","PostsTest","PostsTest","getAll_Posts_ReturnsOk","getAll_Posts_ReturnsOk",""
"passed","Sun Apr 21 20:19:19 GMT 2024","Sun Apr 21 20:19:19 GMT 2024","87","Command line suite","Command line test","TodosTest","TodosTest","getById_Todos_ReturnsTodo","getById_Todos_ReturnsTodo",""
