"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 20:02:05 GMT 2024","Sun Apr 21 20:02:05 GMT 2024","63","Command line suite","Command line test","TodosTest","TodosTest","post_Todos_ReturnsCreated","post_Todos_ReturnsCreated",""
"passed","Sun Apr 21 20:02:06 GMT 2024","Sun Apr 21 20:02:06 GMT 2024","65","Command line suite","Command line test","UsersTest","UsersTest","putById_Users_ReturnsUpdated","putById_Users_ReturnsUpdated",""
"passed","Sun Apr 21 20:02:05 GMT 2024","Sun Apr 21 20:02:05 GMT 2024","64","Command line suite","Command line test","PostsTest","PostsTest","deleteById_Posts_ReturnsOk","deleteById_Posts_ReturnsOk",""
"passed","Sun Apr 21 20:02:05 GMT 2024","Sun Apr 21 20:02:05 GMT 2024","64","Command line suite","Command line test","PostsTest","PostsTest","patchById_Posts_ReturnsUpdated","patchById_Posts_ReturnsUpdated",""
"passed","Sun Apr 21 20:02:05 GMT 2024","Sun Apr 21 20:02:05 GMT 2024","61","Command line suite","Command line test","TodosTest","TodosTest","putById_Todos_ReturnsUpdated","putById_Todos_ReturnsUpdated",""
"passed","Sun Apr 21 20:02:05 GMT 2024","Sun Apr 21 20:02:05 GMT 2024","49","Command line suite","Command line test","TodosTest","TodosTest","getById_Todos_ReturnsTodo","getById_Todos_ReturnsTodo",""
"passed","Sun Apr 21 20:02:06 GMT 2024","Sun Apr 21 20:02:06 GMT 2024","52","Command line suite","Command line test","UsersTest","UsersTest","getAll_Users_ReturnsOk","getAll_Users_ReturnsOk",""
"passed","Sun Apr 21 20:02:05 GMT 2024","Sun Apr 21 20:02:05 GMT 2024","39","Command line suite","Command line test","PostsTest","PostsTest","getById_Posts_ReturnsPost","getById_Posts_ReturnsPost",""
"passed","Sun Apr 21 20:02:06 GMT 2024","Sun Apr 21 20:02:06 GMT 2024","53","Command line suite","Command line test","UsersTest","UsersTest","patchById_Users_ReturnsUpdated","patchById_Users_ReturnsUpdated",""
"passed","Sun Apr 21 20:02:06 GMT 2024","Sun Apr 21 20:02:06 GMT 2024","57","Command line suite","Command line test","UsersTest","UsersTest","deleteById_Users_ReturnsOk","deleteById_Users_ReturnsOk",""
"passed","Sun Apr 21 20:02:05 GMT 2024","Sun Apr 21 20:02:06 GMT 2024","79","Command line suite","Command line test","PostsTest","PostsTest","post_Posts_returnsCreated","post_Posts_returnsCreated",""
"passed","Sun Apr 21 20:02:05 GMT 2024","Sun Apr 21 20:02:05 GMT 2024","91","Command line suite","Command line test","PostsTest","PostsTest","getAll_Posts_ReturnsOk","getAll_Posts_ReturnsOk",""
"passed","Sun Apr 21 20:02:06 GMT 2024","Sun Apr 21 20:02:06 GMT 2024","67","Command line suite","Command line test","PostsTest","PostsTest","putById_Posts_ReturnsUpdated","putById_Posts_ReturnsUpdated",""
"passed","Sun Apr 21 20:02:06 GMT 2024","Sun Apr 21 20:02:06 GMT 2024","38","Command line suite","Command line test","UsersTest","UsersTest","getById_Users_ReturnsUser","getById_Users_ReturnsUser",""
"passed","Sun Apr 21 20:02:05 GMT 2024","Sun Apr 21 20:02:05 GMT 2024","321","Command line suite","Command line test","TodosTest","TodosTest","getAll_Todos_ReturnsOk","getAll_Todos_ReturnsOk",""
"passed","Sun Apr 21 20:02:03 GMT 2024","Sun Apr 21 20:02:05 GMT 2024","1533","Command line suite","Command line test","TodosTest","TodosTest","deleteById_Todos_ReturnsOk","deleteById_Todos_ReturnsOk",""
"passed","Sun Apr 21 20:02:05 GMT 2024","Sun Apr 21 20:02:05 GMT 2024","95","Command line suite","Command line test","TodosTest","TodosTest","patchById_Todos_ReturnsUpdated","patchById_Todos_ReturnsUpdated",""
"passed","Sun Apr 21 20:02:06 GMT 2024","Sun Apr 21 20:02:06 GMT 2024","61","Command line suite","Command line test","UsersTest","UsersTest","post_Users_ReturnsCreated","post_Users_ReturnsCreated",""
