"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 20:28:36 GMT 2024","Sun Apr 21 20:28:36 GMT 2024","260","Command line suite","Command line test","PostsTest","PostsTest","deleteById_Posts_ReturnsOk","deleteById_Posts_ReturnsOk",""
"passed","Sun Apr 21 20:28:37 GMT 2024","Sun Apr 21 20:28:37 GMT 2024","46","Command line suite","Command line test","UsersTest","UsersTest","getAll_Users_ReturnsOk","getAll_Users_ReturnsOk",""
"passed","Sun Apr 21 20:28:37 GMT 2024","Sun Apr 21 20:28:38 GMT 2024","258","Command line suite","Command line test","UsersTest","UsersTest","post_Users_ReturnsCreated","post_Users_ReturnsCreated",""
"passed","Sun Apr 21 20:28:35 GMT 2024","Sun Apr 21 20:28:35 GMT 2024","47","Command line suite","Command line test","TodosTest","TodosTest","getById_Todos_ReturnsTodo","getById_Todos_ReturnsTodo",""
"passed","Sun Apr 21 20:28:37 GMT 2024","Sun Apr 21 20:28:37 GMT 2024","265","Command line suite","Command line test","UsersTest","UsersTest","deleteById_Users_ReturnsOk","deleteById_Users_ReturnsOk",""
"passed","Sun Apr 21 20:28:36 GMT 2024","Sun Apr 21 20:28:36 GMT 2024","98","Command line suite","Command line test","PostsTest","PostsTest","getAll_Posts_ReturnsOk","getAll_Posts_ReturnsOk",""
"passed","Sun Apr 21 20:28:33 GMT 2024","Sun Apr 21 20:28:34 GMT 2024","1597","Command line suite","Command line test","TodosTest","TodosTest","deleteById_Todos_ReturnsOk","deleteById_Todos_ReturnsOk",""
"passed","Sun Apr 21 20:28:35 GMT 2024","Sun Apr 21 20:28:35 GMT 2024","287","Command line suite","Command line test","TodosTest","TodosTest","post_Todos_ReturnsCreated","post_Todos_ReturnsCreated",""
"passed","Sun Apr 21 20:28:36 GMT 2024","Sun Apr 21 20:28:36 GMT 2024","266","Command line suite","Command line test","PostsTest","PostsTest","patchById_Posts_ReturnsUpdated","patchById_Posts_ReturnsUpdated",""
"passed","Sun Apr 21 20:28:37 GMT 2024","Sun Apr 21 20:28:37 GMT 2024","287","Command line suite","Command line test","PostsTest","PostsTest","putById_Posts_ReturnsUpdated","putById_Posts_ReturnsUpdated",""
"passed","Sun Apr 21 20:28:34 GMT 2024","Sun Apr 21 20:28:35 GMT 2024","317","Command line suite","Command line test","TodosTest","TodosTest","getAll_Todos_ReturnsOk","getAll_Todos_ReturnsOk",""
"passed","Sun Apr 21 20:28:36 GMT 2024","Sun Apr 21 20:28:37 GMT 2024","288","Command line suite","Command line test","PostsTest","PostsTest","post_Posts_returnsCreated","post_Posts_returnsCreated",""
"passed","Sun Apr 21 20:28:35 GMT 2024","Sun Apr 21 20:28:36 GMT 2024","260","Command line suite","Command line test","TodosTest","TodosTest","putById_Todos_ReturnsUpdated","putById_Todos_ReturnsUpdated",""
"passed","Sun Apr 21 20:28:35 GMT 2024","Sun Apr 21 20:28:35 GMT 2024","305","Command line suite","Command line test","TodosTest","TodosTest","patchById_Todos_ReturnsUpdated","patchById_Todos_ReturnsUpdated",""
"passed","Sun Apr 21 20:28:36 GMT 2024","Sun Apr 21 20:28:36 GMT 2024","42","Command line suite","Command line test","PostsTest","PostsTest","getById_Posts_ReturnsPost","getById_Posts_ReturnsPost",""
"passed","Sun Apr 21 20:28:37 GMT 2024","Sun Apr 21 20:28:37 GMT 2024","139","Command line suite","Command line test","UsersTest","UsersTest","patchById_Users_ReturnsUpdated","patchById_Users_ReturnsUpdated",""
"passed","Sun Apr 21 20:28:38 GMT 2024","Sun Apr 21 20:28:38 GMT 2024","255","Command line suite","Command line test","UsersTest","UsersTest","putById_Users_ReturnsUpdated","putById_Users_ReturnsUpdated",""
"passed","Sun Apr 21 20:28:37 GMT 2024","Sun Apr 21 20:28:37 GMT 2024","45","Command line suite","Command line test","UsersTest","UsersTest","getById_Users_ReturnsUser","getById_Users_ReturnsUser",""
