"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 21:27:44 GMT 2024","Sun Apr 21 21:27:44 GMT 2024","81","Command line suite","Command line test","TodosTest","TodosTest","post_Todos_ReturnsCreated","post_Todos_ReturnsCreated",""
"passed","Sun Apr 21 21:27:44 GMT 2024","Sun Apr 21 21:27:44 GMT 2024","124","Command line suite","Command line test","PostsTest","PostsTest","getAll_Posts_ReturnsOk","getAll_Posts_ReturnsOk",""
"passed","Sun Apr 21 21:27:44 GMT 2024","Sun Apr 21 21:27:44 GMT 2024","59","Command line suite","Command line test","UsersTest","UsersTest","getAll_Users_ReturnsOk","getAll_Users_ReturnsOk",""
"passed","Sun Apr 21 21:27:44 GMT 2024","Sun Apr 21 21:27:44 GMT 2024","76","Command line suite","Command line test","PostsTest","PostsTest","deleteById_Posts_ReturnsOk","deleteById_Posts_ReturnsOk",""
"passed","Sun Apr 21 21:27:44 GMT 2024","Sun Apr 21 21:27:44 GMT 2024","55","Command line suite","Command line test","UsersTest","UsersTest","getById_Users_ReturnsUser","getById_Users_ReturnsUser",""
"passed","Sun Apr 21 21:27:44 GMT 2024","Sun Apr 21 21:27:44 GMT 2024","71","Command line suite","Command line test","PostsTest","PostsTest","putById_Posts_ReturnsUpdated","putById_Posts_ReturnsUpdated",""
"passed","Sun Apr 21 21:27:45 GMT 2024","Sun Apr 21 21:27:45 GMT 2024","61","Command line suite","Command line test","UsersTest","UsersTest","putById_Users_ReturnsUpdated","putById_Users_ReturnsUpdated",""
"passed","Sun Apr 21 21:27:43 GMT 2024","Sun Apr 21 21:27:43 GMT 2024","316","Command line suite","Command line test","TodosTest","TodosTest","getAll_Todos_ReturnsOk","getAll_Todos_ReturnsOk",""
"passed","Sun Apr 21 21:27:45 GMT 2024","Sun Apr 21 21:27:45 GMT 2024","75","Command line suite","Command line test","UsersTest","UsersTest","post_Users_ReturnsCreated","post_Users_ReturnsCreated",""
"passed","Sun Apr 21 21:27:44 GMT 2024","Sun Apr 21 21:27:44 GMT 2024","61","Command line suite","Command line test","PostsTest","PostsTest","getById_Posts_ReturnsPost","getById_Posts_ReturnsPost",""
"passed","Sun Apr 21 21:27:42 GMT 2024","Sun Apr 21 21:27:43 GMT 2024","1461","Command line suite","Command line test","TodosTest","TodosTest","deleteById_Todos_ReturnsOk","deleteById_Todos_ReturnsOk",""
"passed","Sun Apr 21 21:27:44 GMT 2024","Sun Apr 21 21:27:44 GMT 2024","75","Command line suite","Command line test","PostsTest","PostsTest","patchById_Posts_ReturnsUpdated","patchById_Posts_ReturnsUpdated",""
"passed","Sun Apr 21 21:27:44 GMT 2024","Sun Apr 21 21:27:44 GMT 2024","63","Command line suite","Command line test","UsersTest","UsersTest","deleteById_Users_ReturnsOk","deleteById_Users_ReturnsOk",""
"passed","Sun Apr 21 21:27:44 GMT 2024","Sun Apr 21 21:27:44 GMT 2024","66","Command line suite","Command line test","PostsTest","PostsTest","post_Posts_returnsCreated","post_Posts_returnsCreated",""
"passed","Sun Apr 21 21:27:43 GMT 2024","Sun Apr 21 21:27:43 GMT 2024","74","Command line suite","Command line test","TodosTest","TodosTest","getById_Todos_ReturnsTodo","getById_Todos_ReturnsTodo",""
"passed","Sun Apr 21 21:27:44 GMT 2024","Sun Apr 21 21:27:44 GMT 2024","100","Command line suite","Command line test","TodosTest","TodosTest","patchById_Todos_ReturnsUpdated","patchById_Todos_ReturnsUpdated",""
"passed","Sun Apr 21 21:27:44 GMT 2024","Sun Apr 21 21:27:45 GMT 2024","70","Command line suite","Command line test","UsersTest","UsersTest","patchById_Users_ReturnsUpdated","patchById_Users_ReturnsUpdated",""
"passed","Sun Apr 21 21:27:44 GMT 2024","Sun Apr 21 21:27:44 GMT 2024","72","Command line suite","Command line test","TodosTest","TodosTest","putById_Todos_ReturnsUpdated","putById_Todos_ReturnsUpdated",""
